OACI,Aeropuerto,Latitud,Longitud,Fecha,METAR,FECHA_HORA_REPORTE
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 11:05:00,SKBO 071100Z VRB03KT 9999 VCFG VCSH SCT030 BKN050 11/11 Q1028 NOSIG RMK VCSH /SE VCFG /N =,2026-05-07 11:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 12:05:00,SKBO 071200Z 07003KT 010V120 9999 VCFG FEW010 BKN030 12/12 Q1028 NOSIG RMK VCFG/S/NW =,2026-05-07 12:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 12:05:00,SKBO 071226Z 05004KT 010V090 9999 VCFG FEW010 BKN035 14/13 Q1029 NOSIG RMK VCFG/S/NW =,2026-05-07 12:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 13:05:00,SKBO 071300Z VRB04KT 9000 FEW015 SCT040 14/13 Q1029 NOSIG RMK HZ=,2026-05-07 13:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 13:05:00,SKBO 071315Z 07007KT 030V130 9999 FEW020 SCT040 16/12 Q1029 NOSIG RMK HZ=,2026-05-07 13:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 14:05:00,SKBO 071400Z 07006KT 020V110 9999 FEW020 BKN035 16/11 Q1029 NOSIG RMK HZ=,2026-05-07 14:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 15:05:00,SKBO 071500Z 21004KT 150V260 9999 BKN030 18/10 Q1029 NOSIG =,2026-05-07 15:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 16:05:00,SKBO 071600Z 09008KT 050V140 9999 BKN040 18/10 Q1029 NOSIG =,2026-05-07 16:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 17:05:00,SKBO 071700Z 12007KT 070V180 9999 VCSH BKN040 18/10 Q1028 TEMPO DZ RMK VCSH/SE =,2026-05-07 17:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 18:05:00,SKBO 071800Z 13008KT 060V170 9999 SCT030 BKN060 18/10 Q1028 NOSIG =,2026-05-07 18:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 19:05:00,SKBO 071900Z 17005KT 090V220 9999 RA FEW020 BKN040 18/09 Q1026 NOSIG =,2026-05-07 19:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 20:05:00,SKBO 072000Z 07005KT 030V110 9999 SCT030 BKN060 17/13 Q1026 RERA NOSIG =,2026-05-07 20:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 21:05:00,SKBO 072100Z 04004KT 360V070 9999 FEW030 BKN060 18/12 Q1025 NOSIG =,2026-05-07 21:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 22:05:00,SKBO 072200Z 03007KT 360V070 9999 SCT035 SCT070 18/11 Q1025 NOSIG =,2026-05-07 22:05:00
