u,v,temperatura,rocio
1.7320508075688767,1.0000000000000009,12.0,11.0
-0.520944533000791,-2.954423259036624,10.0,2.0
1.9283628290596186,-2.2981333293569333,9.0,8.0
0.0,0.0,7.0,6.0
0.0,-2.0,7.0,6.0
1.5000000000000013,-2.598076211353315,6.0,5.0
1.9283628290596186,-2.2981333293569333,6.0,5.0
1.2855752193730792,-1.5320888862379556,6.0,5.0
1.2855752193730792,-1.5320888862379556,10.0,9.0
1.2855752193730792,-1.5320888862379556,14.0,9.0
1.2855752193730792,-1.5320888862379556,17.0,9.0
3.0641777724759116,2.571150438746158,18.0,9.0
5.000000000000001,8.660254037844386,19.0,10.0
13.155696691002717,4.78828200655936,19.0,9.0
10.832885283134289,1.9101299543362336,19.0,8.0
5.908846518073248,1.041889066001582,19.0,8.0
6.893654271085456,1.2155372436685123,18.0,10.0
10.0,1.8369701987210296e-15,17.0,10.0
5.908846518073248,1.041889066001582,16.0,11.0
7.878462024097664,1.3891854213354426,14.0,11.0
5.908846518073249,-1.0418890660015798,12.0,11.0
2.0000000000000004,3.4641016151377544,12.0,11.0
1.0000000000000002,1.7320508075688772,12.0,10.0
5.908846518073248,1.041889066001582,10.0,10.0
1.969615506024416,0.34729635533386066,10.0,10.0
2.5711504387461583,-3.064177772475911,10.0,10.0
2.571150438746157,3.064177772475912,11.0,10.0
0.0,0.0,11.0,11.0
0.0,-2.0,11.0,11.0
0.0,-2.0,11.0,10.0
2.0000000000000004,3.4641016151377544,10.0,9.0
2.5711504387461583,-3.064177772475911,11.0,10.0
1.2855752193730792,-1.5320888862379556,13.0,12.0
1.2855752193730792,-1.5320888862379556,16.0,12.0
7.0,1.2858791391047208e-15,17.0,12.0
9.396926207859085,3.4202014332566852,19.0,11.0
13.787308542170914,-2.4310744873370194,19.0,11.0
13.155696691002717,4.78828200655936,20.0,11.0
15.0,2.7554552980815444e-15,20.0,11.0
13.155696691002717,4.78828200655936,19.0,10.0
13.787308542170914,-2.4310744873370194,19.0,11.0
11.592117375014999,-2.9256379602968545,17.5,11.5
9.396926207859083,-3.4202014332566897,16.0,12.0
7.0,1.2858791391047208e-15,15.0,12.0
2.819077862357725,-1.026060429977007,13.0,12.0
-0.520944533000791,-2.954423259036624,13.0,12.0
2.598076211353316,-1.5000000000000004,13.0,11.0
3.0641777724759125,-2.571150438746157,13.0,11.0
1.5320888862379562,-1.2855752193730785,13.0,11.0
4.0,7.347880794884119e-16,12.0,10.0
3.9392310120488325,-0.6945927106677199,12.0,10.0
2.598076211353316,-1.5000000000000004,11.0,10.0
4.0,7.347880794884119e-16,11.0,10.0
0.0,0.0,10.0,9.0
2.598076211353316,-1.5000000000000004,10.0,9.0
-2.571150438746157,-3.064177772475912,12.0,10.0
-2.571150438746157,-3.064177772475912,13.0,11.0
-6.928203230275509,-4.000000000000001,15.0,11.0
-3.4641016151377544,-2.0000000000000004,17.0,11.0
-3.939231012048832,-0.6945927106677217,18.0,10.0
3.7587704831436333,-1.368080573302676,20.0,10.0
13.787308542170914,-2.4310744873370194,19.0,12.0
11.817693036146498,-2.0837781320031596,18.0,12.0
15.756924048195328,2.7783708426708853,17.0,12.0
9.396926207859083,-3.4202014332566897,17.0,12.0
11.817693036146498,-2.0837781320031596,16.0,12.0
5.142300877492314,6.128355544951824,14.0,12.0
5.908846518073248,1.041889066001582,14.0,12.0
6.0,1.102182119232618e-15,14.0,11.0
5.0,9.184850993605148e-16,14.0,11.0
3.939231012048832,0.6945927106677213,13.0,11.0
1.969615506024416,0.34729635533386066,13.0,11.0
-1.9283628290596178,-2.298133329356934,13.0,11.0
1.5000000000000013,-2.598076211353315,12.0,11.0
2.598076211353316,-1.5000000000000004,11.0,10.0
1.9283628290596186,-2.2981333293569333,10.0,9.0
1.2855752193730792,-1.5320888862379556,8.0,7.0
1.2855752193730792,-1.5320888862379556,8.0,7.0
1.2855752193730792,-1.5320888862379556,7.0,7.0
1.2855752193730792,-1.5320888862379556,8.0,8.0
2.0000000000000018,-3.4641016151377535,11.0,11.0
5.196152422706632,-3.000000000000001,14.0,11.0
-1.3680805733026755,3.7587704831436333,17.0,11.0
3.000000000000001,5.196152422706632,17.0,10.0
2.0000000000000004,3.4641016151377544,19.0,10.0
2.5711504387461583,-3.064177772475911,20.0,8.0
12.0,2.204364238465236e-15,19.0,11.0
13.787308542170914,-2.4310744873370194,18.0,11.0
10.0,1.8369701987210296e-15,17.0,11.0
9.848077530122081,-1.7364817766692997,16.0,10.0
7.878462024097664,1.3891854213354426,15.0,10.0
2.5711504387461583,-3.064177772475911,13.0,10.0
3.8302222155948904,-3.2139380484326963,13.0,10.0
1.5320888862379562,-1.2855752193730785,11.0,9.0
2.954423259036624,0.520944533000791,12.0,11.0
1.969615506024416,0.34729635533386066,11.0,9.0
0.6945927106677215,-3.939231012048832,11.0,10.0
3.0641777724759125,-2.571150438746157,11.0,10.0
3.7587704831436333,-1.368080573302676,9.0,8.0
1.8793852415718166,-0.684040286651338,9.0,8.0
1.8793852415718166,-0.684040286651338,9.0,9.0
0.0,0.0,8.0,8.0
2.0000000000000018,-3.4641016151377535,7.0,7.0
1.0000000000000009,-1.7320508075688767,7.0,7.0
0.6945927106677215,-3.939231012048832,12.0,10.0
1.3680805733026744,-3.7587704831436337,14.0,10.0
0.6840402866513372,-1.8793852415718169,18.0,10.0
-3.7587704831436333,-1.3680805733026753,20.0,9.0
14.0,2.5717582782094417e-15,20.0,12.0
11.2763114494309,-4.104241719908028,20.0,11.0
12.256711089903646,10.284601754984632,20.0,11.0
9.396926207859085,3.4202014332566852,19.0,12.0
11.817693036146496,2.083778132003164,18.0,12.0
15.035081932574535,5.472322293210697,16.0,12.0
7.878462024097664,1.3891854213354426,15.0,11.0
2.9544232590366244,-0.5209445330007899,13.0,10.0
3.0,5.51091059616309e-16,13.0,11.0
4.698463103929542,-1.7101007166283448,13.0,11.0
2.598076211353316,-1.5000000000000004,13.0,12.0
3.0641777724759116,2.571150438746158,13.0,12.0
2.954423259036624,0.520944533000791,12.0,11.0
1.5000000000000013,-2.598076211353315,12.0,11.0
11.50000000000001,-19.918584287042084,12.0,11.0
2.0000000000000018,-3.4641016151377535,12.0,11.0
0.0,0.0,12.0,11.0
3.0,5.51091059616309e-16,12.0,11.0
0.0,0.0,11.0,10.0
4.924038765061041,-0.8682408883346499,12.0,12.0
0.6945927106677215,-3.939231012048832,13.0,12.0
-0.520944533000791,-2.954423259036624,14.0,12.0
-2.4999999999999996,-4.330127018922194,16.0,12.0
-3.064177772475912,-2.5711504387461575,18.0,10.0
2.2981333293569337,1.9283628290596184,20.0,9.0
8.0,1.4695761589768238e-15,20.0,10.0
13.155696691002717,4.78828200655936,20.0,11.0
12.802500789158707,-2.2574263096700897,20.0,11.0
12.0,2.204364238465236e-15,18.0,12.0
11.2763114494309,-4.104241719908028,17.0,11.0
8.0,1.4695761589768238e-15,15.0,12.0
2.2981333293569337,1.9283628290596184,15.0,12.0
2.2981333293569337,1.9283628290596184,14.0,12.0
3.7587704831436337,1.3680805733026742,14.0,12.0
3.4641016151377535,2.0000000000000018,14.0,12.0
2.2981333293569337,1.9283628290596184,14.0,12.0
2.2981333293569346,-1.9283628290596178,13.0,12.0
1.5320888862379562,-1.2855752193730785,13.0,12.0
-0.6945927106677213,-3.939231012048832,13.0,12.0
0.6945927106677215,-3.939231012048832,12.0,12.0
-0.6945927106677213,-3.939231012048832,12.0,11.0
-1.632871574706939,-3.501704392262372,12.0,11.0
-2.571150438746157,-3.064177772475912,12.0,11.0
-3.83022221559489,-3.2139380484326967,12.0,11.0
-2.9999999999999996,-5.196152422706632,13.0,11.0
-3.4999999999999996,-6.062177826491071,14.0,11.0
-6.0,-3.6739403974420594e-16,16.0,9.0
-2.954423259036624,0.5209445330007909,17.0,9.0
-6.06217782649107,-3.500000000000001,18.0,9.0
-8.863269777109872,1.5628335990023727,19.0,8.0
-6.894399988070802,-5.785088487178855,19.0,7.0
10.0,1.8369701987210296e-15,18.0,11.0
8.660254037844386,-5.000000000000001,18.0,13.0
9.848077530122081,-1.7364817766692997,16.0,12.0
10.39230484541326,6.000000000000005,14.0,12.0
3.8302222155948895,3.2139380484326976,14.0,12.0
3.7587704831436337,1.3680805733026742,14.0,12.0
1.8793852415718169,0.6840402866513371,13.0,12.0
1.8793852415718169,0.6840402866513371,13.0,12.0
1.8793852415718169,0.6840402866513371,12.0,12.0
1.8793852415718169,0.6840402866513371,11.0,10.0
1.8793852415718169,0.6840402866513371,10.0,9.0
-1.4999999999999998,-2.598076211353316,10.0,9.0
-1.3680805733026749,-3.7587704831436337,9.0,8.0
-0.6840402866513374,-1.8793852415718169,7.0,7.0
2.954423259036624,0.520944533000791,7.0,7.0
0.0,0.0,5.0,5.0
3.4641016151377535,2.0000000000000018,5.0,5.0
1.7320508075688767,1.0000000000000009,9.0,9.0
9.797174393178826e-16,-4.0,14.0,11.0
4.898587196589413e-16,-2.0,16.0,8.0
-7.794228634059948,4.499999999999998,19.0,7.0
-9.526279441628827,5.499999999999998,20.0,8.0
-6.894399988070802,5.785088487178855,19.0,8.0
-9.396926207859085,3.420201433256687,20.0,7.0
-11.258330249197703,6.499999999999998,19.0,7.0
-4.999999999999999,8.660254037844387,20.0,10.0
-5.999999999999999,10.392304845413264,20.0,7.0
3.2139380484326963,3.83022221559489,17.0,10.0
9.797174393178826e-16,-4.0,14.0,10.0
