dir_sin,dir_cos,intensidad_kt,temperatura,rocio
0.8660254037844387,-0.4999999999999998,12.0,16.0,6.0
0.984807753012208,-0.1736481776669303,12.0,15.0,6.0
0.8660254037844387,-0.4999999999999998,8.0,14.0,6.0
0.8660254037844387,-0.4999999999999998,10.0,12.0,6.0
0.8660254037844387,-0.4999999999999998,6.0,12.0,6.0
0.8660254037844387,-0.4999999999999998,6.0,11.0,6.0
1.0,6.123233995736766e-17,4.0,11.0,6.0
1.0,6.123233995736766e-17,2.0,10.0,7.0
1.0,6.123233995736766e-17,2.0,8.0,6.0
-0.5000000000000004,0.8660254037844384,4.0,10.0,7.0
0.17364817766693033,0.984807753012208,4.0,8.0,6.0
0.0,1.0,0.0,6.0,5.0
0.6427876096865393,0.766044443118978,6.0,6.0,6.0
0.6427876096865393,0.766044443118978,2.0,5.0,5.0
0.8660254037844386,0.5000000000000001,4.0,11.0,8.0
0.984807753012208,0.17364817766693041,7.0,15.0,7.0
1.0,6.123233995736766e-17,9.0,16.0,7.0
1.0,6.123233995736766e-17,8.0,18.0,7.0
0.984807753012208,-0.1736481776669303,13.0,18.0,8.0
0.766044443118978,-0.6427876096865394,14.0,18.0,8.0
0.8660254037844387,-0.4999999999999998,16.0,18.0,7.0
0.766044443118978,-0.6427876096865394,14.0,18.0,9.0
0.9396926207859084,-0.3420201433256687,12.0,17.0,9.0
0.984807753012208,-0.1736481776669303,10.0,17.0,9.0
0.984807753012208,-0.1736481776669303,18.0,16.0,7.0
0.984807753012208,0.17364817766693041,4.0,15.0,7.0
0.766044443118978,-0.6427876096865394,10.0,14.0,8.0
0.3420201433256687,0.9396926207859084,6.0,13.0,8.0
0.6427876096865393,0.766044443118978,6.0,12.0,9.0
0.3420201433256687,0.9396926207859084,6.0,12.0,9.0
0.49999999999999994,0.8660254037844387,8.0,12.0,9.0
0.3420201433256687,0.9396926207859084,8.0,11.0,9.0
0.49999999999999994,0.8660254037844387,4.0,12.0,9.0
0.49999999999999994,0.8660254037844387,2.0,11.0,9.0
0.49999999999999994,0.8660254037844387,2.0,10.0,8.0
0.49999999999999994,0.8660254037844387,4.0,9.0,8.0
0.49999999999999994,0.8660254037844387,4.0,10.0,8.0
0.49999999999999994,0.8660254037844387,2.0,11.0,8.0
0.0,1.0,0.0,12.0,8.0
0.49999999999999994,0.8660254037844387,10.0,30.0,8.0
0.3420201433256687,0.9396926207859084,10.0,15.0,8.0
0.3420201433256687,0.9396926207859084,2.0,17.0,8.0
0.17364817766693028,-0.984807753012208,3.0,18.0,8.0
0.6427876096865395,-0.7660444431189779,4.0,21.0,8.0
0.766044443118978,-0.6427876096865394,11.0,21.0,6.0
0.8660254037844387,-0.4999999999999998,16.0,22.0,6.0
0.9396926207859084,-0.3420201433256687,12.0,22.0,5.0
-0.3420201433256686,0.9396926207859084,8.0,19.0,11.0
-0.984807753012208,-0.17364817766693033,8.0,18.0,12.0
-0.9396926207859084,-0.34202014332566855,7.0,16.0,11.0
-0.7660444431189781,0.6427876096865393,5.0,14.0,11.0
-0.8660254037844386,0.5000000000000001,3.0,12.0,11.0
0.49999999999999994,0.8660254037844387,3.0,11.0,9.0
-0.5000000000000004,0.8660254037844384,3.0,10.0,7.0
0.17364817766693033,0.984807753012208,5.0,8.0,6.0
0.6427876096865393,0.766044443118978,4.0,8.0,6.0
0.6427876096865393,0.766044443118978,2.0,8.0,6.0
-0.9396926207859083,0.342020143325669,4.0,6.0,5.0
0.0,1.0,0.0,5.0,4.0
0.0,1.0,0.0,5.0,5.0
0.0,1.0,0.0,2.0,2.0
-0.6427876096865396,0.7660444431189778,4.0,1.0,1.0
-0.6427876096865396,0.7660444431189778,2.0,2.0,2.0
0.3420201433256687,0.9396926207859084,4.0,4.0,4.0
0.3420201433256687,0.9396926207859084,4.0,7.0,7.0
0.3420201433256687,0.9396926207859084,2.0,13.0,6.0
0.8660254037844386,0.5000000000000001,8.0,17.0,3.0
0.6427876096865393,0.766044443118978,8.0,19.0,1.0
0.3420201433256687,0.9396926207859084,8.0,21.0,0.0
0.3420201433256687,0.9396926207859084,6.0,21.0,4.5
-0.7660444431189779,-0.6427876096865395,12.0,21.0,9.0
-1.0,-1.8369701987210297e-16,10.0,19.0,10.0
-0.9396926207859084,-0.34202014332566855,10.0,18.0,10.0
-0.9848077530122081,0.17364817766692997,10.0,17.0,11.0
-0.8660254037844386,0.5000000000000001,8.0,15.0,11.0
-0.9396926207859084,-0.34202014332566855,5.0,14.0,11.0
-0.9396926207859083,0.342020143325669,3.0,13.0,11.0
-0.9396926207859084,-0.34202014332566855,6.0,13.0,11.0
-0.8660254037844385,-0.5000000000000004,5.0,13.0,10.0
-0.8660254037844385,-0.5000000000000004,2.0,12.0,11.0
0.17364817766693033,0.984807753012208,3.0,10.0,2.0
-0.6427876096865396,0.7660444431189778,3.0,9.0,8.0
0.0,1.0,0.0,7.0,6.0
0.0,1.0,2.0,7.0,6.0
-0.5000000000000004,0.8660254037844384,3.0,6.0,5.0
-0.6427876096865396,0.7660444431189778,3.0,6.0,5.0
-0.6427876096865396,0.7660444431189778,2.0,6.0,5.0
-0.6427876096865396,0.7660444431189778,2.0,10.0,9.0
-0.6427876096865396,0.7660444431189778,2.0,14.0,9.0
-0.6427876096865396,0.7660444431189778,2.0,17.0,9.0
-0.7660444431189779,-0.6427876096865395,4.0,18.0,9.0
-0.5000000000000001,-0.8660254037844386,10.0,19.0,10.0
-0.9396926207859084,-0.34202014332566855,14.0,19.0,9.0
-0.984807753012208,-0.17364817766693033,11.0,19.0,8.0
-0.984807753012208,-0.17364817766693033,6.0,19.0,8.0
-0.984807753012208,-0.17364817766693033,7.0,18.0,10.0
-1.0,-1.8369701987210297e-16,10.0,17.0,10.0
-0.984807753012208,-0.17364817766693033,6.0,16.0,11.0
-0.984807753012208,-0.17364817766693033,8.0,14.0,11.0
-0.9848077530122081,0.17364817766692997,6.0,12.0,11.0
-0.5000000000000001,-0.8660254037844386,4.0,12.0,11.0
-0.5000000000000001,-0.8660254037844386,2.0,12.0,10.0
-0.984807753012208,-0.17364817766693033,6.0,10.0,10.0
-0.984807753012208,-0.17364817766693033,2.0,10.0,10.0
-0.6427876096865396,0.7660444431189778,4.0,10.0,10.0
-0.6427876096865393,-0.766044443118978,4.0,11.0,10.0
0.0,1.0,0.0,11.0,11.0
0.0,1.0,2.0,11.0,11.0
0.0,1.0,2.0,11.0,10.0
-0.5000000000000001,-0.8660254037844386,4.0,10.0,9.0
-0.6427876096865396,0.7660444431189778,4.0,11.0,10.0
-0.6427876096865396,0.7660444431189778,2.0,13.0,12.0
-0.6427876096865396,0.7660444431189778,2.0,16.0,12.0
-1.0,-1.8369701987210297e-16,7.0,17.0,12.0
-0.9396926207859084,-0.34202014332566855,10.0,19.0,11.0
-0.9848077530122081,0.17364817766692997,14.0,19.0,11.0
-0.9396926207859084,-0.34202014332566855,14.0,20.0,11.0
-1.0,-1.8369701987210297e-16,15.0,20.0,11.0
-0.9396926207859084,-0.34202014332566855,14.0,19.0,10.0
-0.9848077530122081,0.17364817766692997,14.0,19.0,11.0
-0.9622501868990583,0.2578341604962995,12.0,17.5,11.5
-0.9396926207859083,0.342020143325669,10.0,16.0,12.0
-1.0,-1.8369701987210297e-16,7.0,15.0,12.0
-0.9396926207859083,0.342020143325669,3.0,13.0,12.0
0.17364817766693033,0.984807753012208,3.0,13.0,12.0
-0.8660254037844386,0.5000000000000001,3.0,13.0,11.0
